,İlaç Adı
3845,ketilept 200 mg 30 tablet
3846,ketilept 200 mg 60 tablet
3847,ketilept 25 mg 30 tablet
3848,ketilept 25 mg 60 tablet
3849,ketilept 300 mg 30 film tablet
3850,"ketober %0,16 sprey 30 ml"
3851,"ketober %1,6 gargara 150 ml sise"
3852,ketocal 300 g
3853,ketocal vanilya aromali 300 g
3854,ketoderm %2 krem 30 gram
3855,ketoral % 2 100 ml sampuan
3856,ketoral % 2 40 gr krem
3857,ketoral vag. 400 mg 3 supozituar
3858,ketosteril 600 mg 100 tablet
3859,ketya 100 mg 30 tablet
3860,ketya 200 mg 30 tablet
3861,ketya 25 mg 30 film tablet
3862,ketya 300 mg 30 film tablet
3863,ketya xr 150 mg uzatilmiş salimli tablet
3864,ketya xr 200 mg uzatilmis salimli 30 tablet
3865,ketya xr 300 mg uzatilmis salimli 30 tablet
3866,ketya xr 400 mg uzatilmis salimli 30 tablet
3867,ketya xr 50 mg uzatilmis salimli 30 tablet
3868,keyrelaks 4 mg/2 ml  im enjeksiyonluk  cozelti
3869,keytruda 100 mg/4 ml (25 mg/ml) infuzyonluk cozelti
3870,k-fenidex jel 30 g
3871,kinzy 10 mg 30 film tablet
3872,kinzy 5 mg 30 film tablet
3873,kiovig 10 gr/100 ml iv infuzyon/sc kullanim icin cozelti iceren flakon
3874,"kiovig 2,5 gr/25 ml iv infuzyon/sc kullanim icin cozelti iceren flakon"
3875,kiovig 20 gr/200 ml iv infuzyon icin cozelti iceren flakon
3876,kiovig 30 gr/300 ml iv infuzyon icin cozelti iceren flakon
3877,kiovig 5 gr/50 ml iv infuzyon/sc kullanim icin cozelti iceren flakon
3878,klacid 500 mg 14 film tablet
3879,klacid mr 500 mg 14 kont. sal. tablet
3880,klacid mr 500 mg 20 kont. sal. tablet
3881,klacid mr 7 kont. sal. tablet
3882,klamaxin 500 mg 14 film tablet
3883,klamer 125 mg 70 ml suspansiyon
3884,klamer 250 mg 100 ml suspansiyon
3885,klamer 250 mg 50 ml suspansiyon
3886,klamer 500 mg 14 film tablet
3887,klamoks 625 mg 10 film tablet
3888,klamoks bid 1 gr 10 tablet
3889,klamoks bid 1000 mg 14 film tablet
3890,klamoks bid 200 mg 70 ml suspansiyon
3891,klamoks bid 200/28 suspansiyon hazirlamak icin kuru toz 100 ml
3892,klamoks bid 400/57 suspansiyon hazirlamak icin kuru toz 100 ml
3893,klamoks bid fort 400/57 suspansiyon hazirlamak icin kuru toz 140 ml
3894,klamoks bid fort 70 ml suspansiyon
3895,"klamoks es 600/42,9 mg oral suspansiyon hazirlamak icin kuru toz 150 ml"
3896,"klamoks es 600/42,9 mg oral suspansiyon icin kuru toz 100 ml"
3897,klaromin 500 mg 14 tablet
3898,klavon bid 1000 mg 10 film kapli tablet
3899,klavon-bid 1000 mg 14 film tablet
3900,"klavunat 156,25 mg 100 ml suspansiyon"
3901,klavunat 625 mg 10 tablet
3902,klavunat bid 1gr 10 tablet
3903,klavunat bid 1gr 14 tablet
3904,klavunat bid 200/28 mg 100 ml oral suspansiyon
3905,klavunat bid 200/28 mg 70 ml oral suspansiyon
3906,klavunat bid 400/57 mg 100 ml oral suspansiyon
3907,klavunat bid 400/57 mg 70 ml oral suspansiyon
3908,"klavunat es 600/42,9 mg oral suspansiyon icin kuru toz 100 ml"
3909,klavunat fort 100 ml suspansiyon
3910,klimadynon film tablet (60 tablet)
3911,klindan 150 mg 16 kapsul
3912,klindan 300 mg 1 ampul
3913,klindan 600 mg 1 ampul
3914,klindaver 300 mg 1 ampul
3915,klindaver 600 mg 1 ampul
3916,"klobate %0,05 50 g krem"
3917,"klobate %0,05 50 g merhem"
3918,klogel 75 mg film kapli tablet (28 tablet)
3919,klogel-a 75/100 mg 30 kapsul
3920,klogel-a 75/75 mg 30 kapsul
3921,klomen 50 mg 10 tablet
3922,"kloremin %0,15+%0,12 gargara (200 ml)"
3923,"kloremin %0,15+%0,12 oral sprey, cozelti (30 ml)"
3924,"klorhex plus 2.5 mg/ml + 1.2 mg/ml gargara, 200 ml"
3925,"klorhex plus 2.5 mg/ml + 1.2 mg/ml oral sprey, cozelti, 30 ml"
3926,kloroben 30 ml sprey
3927,kloroben gargara
3928,"klo-sal %0,05 + %3 losyon (30g)"
3929,"klo-sal %0,05 + %3 merhem (50 g)"
3930,"k-mexader %0,1 30 g merhem"
3931,"k-mexader %0,1 30 ml losyon"
3932,"k-mexader %0,1 krem (30g)"
3933,koate-dvi faktor viii 1000 iu flakon
3934,kolisod 150 mg im/iv enj. ve inhalasyon icin liyofilize toz iceren flakon
3935,kolistate 150 mg im/iv enj. ve inhalasyon icin liyofilize toz iceren flakon
3936,"kolsin 0,5 mg 60 draje"
3937,komfer 40 mg oral cozelti (10 flakon)
3938,komfer fol 40 mg/185 mcg oral cozelti (10 flakon)
3939,komox 20 mg gastro-rezistan sert kapsul (28 kapsul)
3940,komox 40 mg gastro-rezistan sert kapsul (28 kapsul)
3941,kompensan 60 tablet
3942,komplia 10 mg sert kapsul (21 adet)
3943,komplia 15 mg sert kapsul (21 adet)
3944,komplia 25 mg sert kapsul (21 adet)
3945,komplia 5 mg sert kapsul (21 adet)
3946,konazol medikal %2 100 ml sampuan
3947,konsenidat 18 mg uzatilmis salimli tablet (30 tablet)
3948,konsenidat 27 mg uzatilmis salimli tablet (30 tablet)
3949,konsenidat 36 mg uzatilmis salimli tablet (30 tablet)
3950,konsenidat 54 mg uzatilmis salimli tablet (30 tablet)
3951,kontil 250 mg 6 tablet
3952,kontil 5 ml 250 mg 15 ml suspansiyon
3953,konveril 10 mg 20 tablet
3954,konveril 5 mg 20 tablet
3955,konveril plus 20 mg 20 tablet
3956,kopaq  350 mg i/ml enjeksiyonluk cozelti iceren flakon (200 ml 1 flakon)
3957,kopaq 300 mg/50 ml enjenksiyonluk cozelti iceren flakon
3958,kopaq 300 mg/ml 100 ml enjenksiyonluk cozelti iceren flakon
3959,kopaq 350 mg/ml 100 ml enjenksiyonluk cozelti iceren flakon
3960,kopaq 350 mg/ml 50 ml enjenksiyonluk cozelti iceren flakon
3961,koparin 25000 iu/5 ml enjeksiyonluk cozelti iceren 1 flakon
3962,korabin 1000 mg/20 ml iv/sc intratekal enjeksiyon/infuzyon icin cozelti iceren flakon (1 flakon)
3963,kordexa 4 mg 20 tablet
3964,kordexa 8 mg 20 tablet
3965,"kortilon-a orabase % 0,1 merhem (5 g)"
3966,kortos 27 mg/ 5 mg 10 supozituar
3967,kortos krem 30 gr
3968,kovaltry 2000 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
3969,kovaltry 250 iu iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
3970,kreon 10000 iu 100 kapsul
3971,kreon kapsul 25000 300 mg 100 kapsul
3972,kreval 100 ml surup
3973,kreval forte 15 mg/5 ml surup 100 ml
3974,"kreval max 22,5 mg/ 5 ml surup 100 ml"
3975,kreval sr 50 mg 20 film kapli tablet
3976,kuilil 200 mg/ 200 mg 40 film tablet
3977,kursept 30 gr krem
3978,kuvan 100 mg cozunebilir 30 tablet
3979,kwellada % 1 120 ml sampuan
3980,kwellada 120 ml losyon
3981,kwellada 60 ml sampuan
3982,kyprolis 60 mg iv enjeksiyonluk cozelti icin toz iceren flakon (1 flakon)
3983,kytril 1 mg 10  tablet
3984,kytril 2 mg 5 film tablet
3985,kytril 3 mg 1 ampul
3986,kytril 3 mg 5 ampul
3987,lacipil 4 mg 28 tablet
3988,lafiline 240 mg/10 ml infuzyon icin cozelti (6 adet)
3989,lafleks %10 dekstroz solusyonu 150 ml setsiz
3990,lafleks %10 dekstroz solusyonu 500 ml (setsiz)
3991,lafleks %5 dekstroz solusyonu 100 ml (setsiz)
3992,lafleks %5 dekstroz solusyonu 1000 ml (setsiz)
3993,lafleks %5 dekstroz solusyonu 150 ml (setsiz)
3994,lafleks %5 dekstroz solusyonu 250 ml (setsiz)
3995,lafleks %5 dekstroz solusyonu 500 ml (setsiz)
3996,lafleks izotonik sodyum klorur solusyonu 100 ml (setsiz)
3997,lafleks izotonik sodyum klorur solusyonu 1000 ml (setsiz)
3998,lafleks izotonik sodyum klorur solusyonu 150 ml (setsiz)
3999,lafleks izotonik sodyum klorur solusyonu 250 ml (setsiz)
4000,lafleks izotonik sodyum klorur solusyonu 500 ml (setsiz)
4001,lafleks laktatli ringer solusyonu 1000 ml (setsiz)
4002,lafleks laktatli ringer solusyonu 500 ml (setsiz)
4003,lak.rin %5 dex sise 1000 ml solusyon
4004,lak.rin %5 dex sise 500 ml solusyon
4005,laksafenol 50 mg 20 tablet
4006,laktatli ringer 1000 ml sol setsiz
4007,laktatli ringer 1000 ml sol. setli
4008,laktatli ringer 1000 ml solusyon
4009,laktatli ringer 1000 ml solusyon(setsiz)
4010,laktatli ringer 500 ml sol setsiz
4011,laktatli ringer 500 ml sol. setli
4012,laktatli ringer 500 ml solusyon
4013,laktatli ringer 500 ml solusyon(setsiz)
4014,laktatli ringer dem iv infuzyon icin cozelti 1000 ml pe sise (setli)
4015,laktatli ringer dem iv infuzyon icin cozelti 1000 ml pe sise (setsiz)
4016,laktatli ringer dem iv infuzyon icin cozelti 500 ml pe sise (setli)
4017,laktatli ringer dem iv infuzyon icin cozelti 500 ml pe sise (setsiz)
4018,laktatli ringer pvc 1000 ml(setli)
4019,laktatli ringer pvc 1000 ml(setsiz)
4020,laktatli ringer pvc 2000 ml(setli)
4021,laktatli ringer pvc 2000 ml(setsiz)
4022,laktatli ringer pvc 500 ml(setli)
4023,laktatli ringer pvc 500 ml(setsiz)
4024,lamart 10 mg film kapli tablet
4025,lamart 20 mg film kapli tablet
4026,lameris 800 mg 180 film tablet
4027,lamictal dc 100 mg cozunur 30 cigneme tableti
4028,lamictal dc 200 mg cozunur 30 cigneme tableti
4029,lamictal dc 25 mg cozunur 30 cigneme tableti
4030,lamictal dc 5 mg cozunur 30 cigneme tableti
4031,lamictal dc 50 mg cozunur 30 cigneme tableti
4032,lamide 100 mg 56 film kapli tablet
4033,lamide 150 mg 56 film kapli tablet
4034,lamide 200 mg 56 film kapli tablet
4035,lamide 50 mg 14 film kapli tablet
4036,laniczol 5mg/100 ml iv infuzyon icin konsantre cozelti iceren 1 flakon
4037,lansoprol 15 mg 28 kapsul
4038,lansoprol 30 mg 28 mik.kapsul
4039,lansor 15 mg 30 kapsul
4040,lansor 30 mg 14 kapsul
4041,lansor 30 mg 28 kapsul
4042,lansoter 30 mg 28 mikropellet kapsul
4043,lantus solostar 100 u/ml 3 ml .lik kartus iceren enj. kalemi
4044,lanvis 40 mg 25 tablet
4045,lanzedin 30 mg enterik kapli mikropellet iceren 14 kapsul
4046,lanzedin 30 mg enterik kapli mikropellet iceren 28 kapsul
4047,lapilori 30 mg 28 mikropellet kapsul
4048,largactil 100 mg kapli tablet (30 tablet)
4049,largactil 25 mg enjeksiyonluk/infuzyonluk cozelti iceren ampul (10 ampul)
4050,largopen 1000 mg 16 tablet
4051,largopen 125 mg 80 ml suspansiyon
4052,largopen 250 mg 80 ml suspansiyon
4053,largopen 500 mg 16 tablet
4054,largopen-bid 200 mg 100 ml suspansiyon
4055,largopen-bid 400 mg 100 ml suspansiyon
4056,laricid 500 mg 14 film kapli tablet
4057,laroxyl 10 mg 30 draje
4058,laroxyl 25 mg 40 draje
4059,lasecon 160 mcg/doz cozelti iceren inhalasyon aersolu (60 doz)
4060,lasirin 20 mg tablet (20 tablet)
4061,lasix 20 mg/2 ml 5 ampul
4062,lasix 40 mg 12 tablet
4063,lastet 50 mg 20 kapsul
4064,"latafree % 0,005 tek dozluk goz damlasi, cozelti"
4065,"latapol %0.005 goz damlasi(2,5 ml sise)"
4066,"laticom %0.005 + %0.5 goz damlasi, cozelti"
4067,latixa 1000 mg uzatilmis salimli 60 tablet
4068,latixa 375 mg uzatilmis salimli 60 tablet
4069,latixa 500 mg uzatilmis salimli 60 tablet
4070,latixa 750 mg uzatilmis salimli 60 tablet
4071,laufran 4 mg/2 ml iv/im enjeksiyonluk cozelti (1 ampul)
4072,laufran 8 mg/4 ml enjeksiyonluk cozelti 1 ampul
4073,lavenil 30 mg/5 ml 150 ml surup
4074,lax fosfosoda oral solusyon 45 ml
4075,laxamot 670 mg/ml surup (300 ml)
4076,"laxeno 1,5 mg/ml oral cozelti (150 ml x 1 sise)"
4077,"laxeno diet 1,5 mg/ml oral cozelti, 150 ml"
4078,lebel 750 mg 7 film tablet
4079,ledason 20 mg film kapli tablet (30 adet)
4080,ledason 40 mg film kapli tablet (30 adet)
4081,ledason 80 mg film kapli tablet (30 adet)
4082,ledezla 10 mg/ 20 mg/ 30 mg film kapli tablet tedavi baslangic paketi
4083,ledezla 30 mg film kapli tablet (56 tablet)
4084,ledropin 30 mg/5 ml 150 ml surup
4085,lefox 500 mg 7 film tablet
4086,lefox 500 mg/100 ml iv inf. cozelti icin flakon
4087,lefox 750 mg film tablet (7 tablet)
4088,legalon fort 60 kapsul
4089,lekarnitin 1 g/5 ml iv enjeksiyonluk cozelti iceren 5 ampul
4090,lenatu 10 mg sert kapsul (21 kapsul)
4091,lenatu 15 mg sert kapsul (21 kapsul)
4092,lenatu 25 mg sert kapsul (21 kapsul)
4093,lenatu 5 mg sert kapsul (21 kapsul)
4094,lenom 10 mg sert kapsul (21 kapsul)
4095,lenom 25 mg sert kapsul (21 kapsul)
4096,lenom 5 mg sert kapsul (21 kapsul)
4097,"leodex %1,25 jel 60 gr"
4098,leodex 25 mg 20 film kapli tablet
4099,leodex 50 mg/2 ml enjeksiyonluk cozelti iceren 6 ampul
4100,leodex plus 25 mg/4 mg 20 film kapli tablet
4101,leodex plus 25 mg/8 mg 14 film kapli tablet
4102,"leoks 2,5 mg/ml infuzyonluk cozelti hazirlamak icin konsantre (5 ml)"
4103,leptica 1000 mg 50 film tablet
4104,leptica 250 mg 50 film tablet
4105,leptica 500 mg 50 film tablet
4106,lercadip 10 mg 30 film tablet
4107,lercadip 20 mg 30 film tablet
4108,"letrasan 2,5 mg 30 film tablet"
4109,"letroks 2,5 mg 30 film tablet"
4110,"letrol 2,5 mg 30 film tablet"
4111,"letu 2,5 mg 30 film kapli tablet"
4112,leucostim 15 miu sc/iv kullanima hazir enjektor 5 enjektor/kutu
4113,leucostim 30 miu sc/iv kullanima hazir enjektor 1 enjektor/kutu
4114,leucostim 30 miu sc/iv kullanima hazir enjektor 5 enjektor/kutu
4115,leukeran 2 mg 25 tablet
4116,leusenox 10 mg/10 ml iv infuzyon icin konsantre cozelti iceren ampul (10 adet)
4117,levday 5 mg 30 efervesan tablet
4118,levemax 1000 mg 100 film tablet
4119,levemax 1000 mg 50 film tablet
4120,levemax 250 mg 50 film tablet
4121,levemax 500 mg 100 film tablet
4122,levemax 500 mg 50 film tablet
4123,levemir flexpen 100u/ml 5x3ml kull.hazir dolu enj. kalemi icinde enj. coz.
4124,lev-end 100 mg/ml oral cozelti (300 ml)
4125,lev‐end 1000 mg film kapli tablet (50 film kapli  tablet)
4126,lev‐end 250 mg film kapli tablet (50 film kapli  tablet)
4127,lev‐end 500 mg film kapli tablet (50 film kapli  tablet)
4128,lev‐end 750 mg film kapli tablet (50 film kapli  tablet) 
4129,"leverette 0,15 mg/0,03 mg 21 film kapli tablet"
4130,levetam 500 mg/5 ml konsantre inf. coz. iceren 10 flakon
4131,leviset 5 mg 20 film tablet
4132,levitra 20 mg 4 film tablet
4133,"levmont 2,5/4 mg 30 cigneme tablet"
4134,"levmont 2,5/4 mg toz iceren sase (30 sase)"
4135,levmont 5/10 mg 30 film kapli tablet
4136,levmont 5/10 mg 90 film kapli tablet
4137,levokast 5/10 mg 30 film kapli tablet
4138,"levolon %0,5 goz damlasi, cozelti"
4139,"levolon %0,5 goz ve kulak damlasi, cozelti"
4140,levonat 500 mg 7 film tablet
4141,levonidin 500 mg 7 film tablet
4142,levonidin 750 mg 7 film tablet
4143,levopront 30 mg/5 ml 150 ml surup
4144,levopront 60 mg 20 tablet
4145,levopront fort oksuruk surubu 75 ml surup
4146,levorup 30 mg/5 ml 150 ml  surup
4147,levosasin 500 mg film kapli tablet (7 tablet)
4148,levosol 30 mg/5 ml 150 ml surup
4149,levosol fort 60 mg / 5 ml surup (75ml)
4150,levotiron 100 mcg 50 tablet
4151,levotiron 125 mcg 50 tablet
4152,levotiron 150 mcg 50 tablet
4153,levotiron 175 mcg 50 tablet
4154,levotiron 200 mcg 50 tablet
4155,levotiron 25 mcg 50 tablet
4156,levotiron 50 mcg 50 tablet
4157,levotiron 75 mcg 50 tablet
4158,levoworld 500 mg 7 film kapli tablet
4159,"levoximed %0,5 goz ve kulak damlasi"
4160,levoximed 500 mg/100 ml iv infuzyon icin cozelti iceren 1 flakon
4161,levoxipolin 500 mg/ 100 ml iv inf. cozeltisi (100 ml)
4162,lex 20 mg 4 film tablet
4163,lex 5 mg 14 film kapli tablet
4164,lex 5 mg 28 film kapli tablet
4165,lexur 500 mg 7 film tablet
4166,"lh-rh ferring 0,1 mg/ml iv enjeksiyonluk cozelti iceren 1 ampul"
4167,"libalaks %53,1 + %37 rektal jel "
4168,lidofast enjeksi̇yonluk cozelti i̇ceren 2ml 20 ampul
4169,lidon 100 mg / 5 ml im/iv/sc enjeksiyonluk cozelti ( 5 ampul )
4170,lidon 40 mg / 2 ml im/iv/sc enjeksiyonluk cozelti ( 10 ampul ) 
4171,lidwina 120 mg gastrorezistan sert kapsul (14 kapsül)
4172,lidwina 240 mg gastrorezistan sert kapsul (56 kapsül)
4173,lifechek compact td-4283 kan seker olçum sistemi
4174,lifechek insulin kalem ignesi 31gx5mm
4175,lifechek insulin kalem ignesi 31gx6mm
4176,lifechek insulin kalem ignesi 31gx8mm
4177,lifechek insulin kalem ignesi 32gx4mm
4178,lifechek pro td-4277 kan seker olçum sistemi
4179,lifechek silver  gh82 kansekeri olcum sistemi
4180,lifechek silver gh82 kan sekeri olcum stribi
4181,lifechek smart td-4360 kan seker olçum stribi
4182,lifechek stick td-4287 kan sekeri olcum sistemi
4183,lifta 10 mg 2 film tablet
4184,lifta 20 mg 4 film tablet
4185,lifta 5 mg 14 film tablet
4186,lifta 5 mg 28 film tablet
4187,lifta 5 mg film kapli tablet (56 film kapli tablet)
4188,limenda-l  vajinal 7 ovul
4189,limexid 600 mg 10 film tablet
4190,linatin 5 mg film kapli tablet (30 tablet)
4191,linazep 5 mg film kapli tablet (30 tablet)
4192,lincaine sprey %10 50 ml sise
4193,lincocin 600 mg/2 ml im/iv enjeksiyonluk cozelti (1 ampul)
4194,linedor 600 mg/300 ml i.v. infuzyon icin cozelti iceren flakon
4195,liniga 5 mg film kapli tablet
4196,liniga plus 2.5 mg/1000 mg film kapli tablet (60 adet)
4197,liniga plus 2.5 mg/850 mg film kapli tablet (60 adet)
4198,linkomisin 600 mg 1 ampul
4199,linkosol 600 mg 1 ampul
4200,linoxa 100 mg/20 ml inf.icin konsantre coz. iceren 1 flakon
4201,linoxa 50 mg/10 ml inf.icin konsantre coz. iceren 1 flakon
4202,linra 1 mg tablet (30 tablet)
4203,lintreja 5 mg film kapli tablet
4204,lintrejamet 2.5 mg/1000 mg film kapli tablet (60 tablet)
4205,lintrejamet 2.5 mg/850 mg film kapli tablet (60 tablet)
4206,lioresal 10 mg 50 tablet
4207,lipanthyl 160 mg 30 film tablet
4208,lipanthyl 267 mg 30 kapsul
4209,lipanthyl 267 mg 90 kapsul
4210,lipaxel dr 135 mg sert kapsul (30 kapsul)
4211,lipiodol ultra flu. 480mg/10 ml 1 ampul
4212,lipitor 10 mg 30 film tablet
4213,lipitor 10 mg 90 film tablet
4214,lipitor 20 mg 30 film tablet
4215,lipitor 20 mg 90 film tablet
4216,lipitor 40 mg 30 film tablet
4217,lipitor 40 mg 90 film tablet
4218,lipitor 80 mg 30 film tablet
4219,lipofen sr 250 mg 30 kapsul
4220,lipofen sr 250 mg 90 mikropellet kapsul
4221,lipolin 600 mg hr 30 film tablet
4222,"lipotears %0,2 oftalmik jel,10 gr"
4223,lithuril 300 mg 100 kapsul
4224,livagy 750 mg/200 mg/100 mg vajinal ovul (7 adet)
4225,livercol 10 mg 28 film tablet
4226,livercol 20 mg 28 film tablet
4227,livercol 40 mg 28 film tablet
4228,"liv-gamma sn 2,5 g/50 ml iv infuzyonluk cozelti"
4229,liv-gamma sn 5 g/100 ml iv infuzyonluk cozelti
4230,lixiana 30 mg 28 film kapli tablet
4231,lixiana 60 mg 28 film kapli tablet
4232,lizik 40 mg 50 tablet
4233,"locacortene-vioforme 0,2 mg/g+30 mg/g krem (30 g)"
4234,locafen %2 krem (30 g)
4235,locanest %10 sprey (50 ml)
4236,locasalene 0.2 mg/g + 30 mg/g merhem (30 gram)
4237,"loceryl %5 ilacli tirnak cilasi 2,5 ml"
4238,"locoderm %0,1 30 gr lipo krem"
4239,locoderm %0.1 30 gr krem
4240,locoderm %0.1 30 gr merhem
4241,lodine 300 mg 10 film tablet
4242,lodux 30 mg gastro-rezistan sert kapsul (28 kapsul)
4243,lodux 60 mg gastro-rezistan sert kapsul (28 kapsul)
4244,lokalen 50 mg 30 gr pomad
4245,lomotil 20 tablet
4246,longis 20 mg film kapli tablet (4 tablet)
4247,"lonquex 6 mg/0,6 ml kullanima hazir dolu enjektor(1 adet)"
4248,lopermid 2 mg 20 tablet
4249,lopid 600 mg 30 tablet
4250,"loprox  % 1,5 100 ml  sampuan"
4251,lorclast 5/10 mg 30 film kapli tablet
4252,"lordes 2,5 mg/5 ml surup 150 ml"
4253,lordes 5 mg 20 film tablet
4254,lornatat 3 gr granul 30 adet
4255,lornatat 5 g/10 ml i.v. infuzyonluk cozelti hazirlamak icin konsantre (10 ampul)
4256,lornox fast 8 mg film kapli tablet (10 tablet)
4257,lorviqua 100 mg film kapli tablet (30 tablet)
4258,lorviqua 25 mg film kapli tablet (30 tablet)
4259,loseprol 40 mg iv enjeksiyon icin liyofilize toz iceren flakon
4260,losiram 10 mg 28 film tablet
4261,losiram 20 mg 28 film tablet
4262,lotebra goz damlasi 1 adet 5ml
4263,"loteforte %0,5 oftalmik suspansiyon (5 ml)"
4264,"lotemax %0,5 5 ml oftalmik solusyon"
4265,lovitrec 20 mg film kapli tablet (4 tablet)
4266,lpd (low protein drink)
4267,lpkain %5 krem (5 gr 5 adet)
4268,lpkain %5 krem 5 gr 1 adet
4269,lubtane lubrikant goz damlasi 10 ml
4270,lucentis 10 mg/ml enjeksiyonluk cozelti
4271,lucentis 10 mg/ml enjeksiyonluk cozelti iceren kullanima hazir 1 enjektor
4272,"lucrin depot 1 ay im/sc 3,75 mg kullanima hazir toz ve cozucu iceren cift bolmeli enjektor"
4273,"lucrin depot 3 ay im/sc 11,25 mg kullanima hazir toz ve cozucu iceren cift bolmeli enjektor"
4274,ludiomil 25 mg 30 tablet
4275,ludiomil 75 mg 14 tablet
4276,lulizol %1 krem (20 g)
4277,lumakras 120 mg film kapli tablet (240 tablet)
4278,"lumigan rc %0,01 2,5 ml goz damlasi"
4279,luminal 10 tablet
4280,luminaletten 15 mg 30 tablet
4281,luroan % 0.15 tek dozluk goz damlasi (20 flakon)
4282,lustral 50 mg 28 tablet
4283,lustral special 100 mg 28 film tablet
4284,lutinus 100 mg vajinal tablet
4285,luxat 10 mg 28 film tablet
4286,lynparza 100 mg film kapli tablet (56 tablet)
4287,lynparza 150 mg film kapli tablet (56 tablet)
4288,lyrica 150 mg 56 kapsul
4289,lyrica 225 mg 56 kapsul
4290,lyrica 25 mg 56 kapsul
4291,lyrica 300 mg 56 kapsul
4292,lyrica 75 mg 14 kapsul
4293,lyrica 75 mg 42 kapsul
4294,lysobact 20 mg/10 mg pastil
4295,mabthera 100 mg 2 flakon
4296,"mabthera 1400 mg/11,7 ml sc enjeksiyon icin cozelti iceren 1 flakon"
4297,mabthera 500 mg 1 flakon
4298,macitrin 10 mg 28 film kapli tablet
4299,macrol 125 mg/5 ml 70 ml suspansiyon
4300,macrol 250 mg 14 film tablet
4301,macrol 250 mg/5 ml 100 ml susp
4302,macrol 250 mg/5 ml 50 ml susp
4303,macrol 500 mg 14 film tablet
4304,macrol 500 mg mr 14 kontrollu salim tablet
4305,macrol 500 mg mr 20 kontrollu salim tablet
4306,macrol 500 mg mr 7 kontrollu salim tablet
4307,madecassol 10 mg/1 gr 40 gr pomad
4308,madefix merhem %1 40 g
4309,madegcenta %1 merhem (40 g)
4310,madescar %1 merhem
4311,madopar 125 mg 30 tablet
4312,madopar hbs 125 mg 30 kapsul
4313,maflor 10 sase
4314,maflor 60 mg granul iceren sase (4 sase)
4315,maflor plus 15 kapsul
4316,maflor plus 30 kapsul
4317,magcar 100ml suspansiyon
4318,magcar 48 cigneme tableti
4319,magcar forte 600 mg / 70 mg / 150 mg / 5 ml suspansiyon (200 ml)
4320,magcar forte suspansiyon 100 ml
4321,magneral 365 mg tablet (30 tablet)
4322,magnesie calcinee saba toz
4323,magnesium diasporal pastil
4324,magnezi kalsine 100 g toz
4325,magnezi kalsine 100 g toz
4326,magnezinc 40 film tablet
4327,magnezyum sulfat %15 10 ml
4328,magnezyum sulfat %15 10 ml 10 ampul
4329,magnezyum sulfat %15 onfarma 10 ml 10 ampul
4330,magnis %1 30 gr krem
4331,magnorm 365 mg 30 efervesan tablet
4332,magnorm 365 mg tablet (30 tablet)
4333,magosit 365 mg 30 tablet
4334,magvital 365 mg granul iceren sase (30 sase)
4335,"majezik % 0.25 oral sprey, cozelti 30 ml"
4336,"majezik %0,25 gargara 200 ml"
4337,majezik 100 mg 15 film tablet
4338,majezik 200 mg sr mikropellet 16 kapsul
4339,majezik duo 100 mg/8 mg 14 film kapli tablet
4340,maltofer 100 mg/5 ml oral cozelti 20 x 5 ml
4341,maltofer fol 30 tablet
4342,mannitol %20 500 ml sol setli sise
4343,mannitol %20 500 ml sol setsiz sise
4344,mantazol %1+%0.1 krem (15 g)
4345,"marcaine %0,5 enjeksiyonluk cozelti"
4346,"marcaine spinal heavy %0,5 enjeksiyonluk cozelti iceren 5 ampul"
4347,masilva 10 mg film kapli tablet (28 tablet)
4348,masitera 10 mg film kapli tablet
4349,matofin 1000 mg 100 film tablet
4350,matofin 1000 mg 100 xr tablet
4351,matofin 500 mg 100 xr tablet
4352,matofin 850 mg 100 film tablet
4353,mavenclad 10 mg tablet (1 tablet)
4354,mavenclad 10 mg tablet (4 tablet)
4355,mavenclad 10 mg tablet (6 tablet)
4356,maviret 100 mg/40 mg 84 film kapli tablet
4357,"maxicaine (40 mg/ml 0,005 mg/ml) 2 ml 20 adet enjeksiyonluk solusyon iceren ampul"
4358,"maxicaine fort(40 mg/ml 0,01 mg/ml) 2 ml 20 adet enjeksiyonluk solusyon iceren ampul"
4359,"maxidex %0,1 steril oft. pomad (3,5 g)"
4360,"maxidex %0,1 steril oft. suspansiyon (5 ml)"
4361,"maxiflu %0,25 gargara (200 ml, 1 sise)"
4362,"maxiflu %0,25 oral sprey, cozelti (30 ml, 1 sise)"
4363,"maximus %0,25 gargara 200 ml"
4364,"maximus %0,25 oral sprey, cozelti 30 ml"
4365,maximus 100 mg 15 film tablet
4366,maxipen 1 gr iv enjeksiyon ve infuzyon icin toz iceren 1 flakon
4367,maxipen 500 mg iv enjeksiyon ve infuzyon icin toz iceren 1 flakon
4368,maxthio 4 mg/2 ml im enj. icin coz. iceren 6 ampul
4369,mayfex 180 mg 20 film tablet
4370,"mazenil 0,50 mg/5 ml iv enj. icin coz. iceren 5 ampul"
4371,mazenil 1 mg/10 ml iv enj. icin coz. iceren 5 ampul
4372,mebucain naneli 20 pastil
4373,"medexol %0,1 goz ve kulak damlasi(1 mg/ml, 5ml)"
4374,medikinet 10 mg degistirilmis salimli kapsul (30 kapsul)
4375,medikinet 20 mg degistirilmis salimli kapsul (30 kapsul)
